name,type_label,description,lat,lng,origin,external_id,status
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1765284595,16.4256682148,verified,vienna:2255567,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2340693963,16.3247831895,verified,vienna:2255568,verified
Trinkbrunnen,drinking_fountain,,48.1900792942,16.3936349192,verified,vienna:2255571,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1692911855,16.4110578235,verified,vienna:2255572,verified
Trinkbrunnen,drinking_fountain,,48.2168203305,16.3489047916,verified,vienna:2255573,verified
Trinkbrunnen,drinking_fountain,,48.2375729723,16.4531725882,verified,vienna:2255574,verified
Trinkbrunnen,drinking_fountain,,48.2128655292,16.3195371266,verified,vienna:2255575,verified
Trinkbrunnen,drinking_fountain,,48.259171172,16.3922622541,verified,vienna:2255576,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2235522494,16.3907038856,verified,vienna:2255577,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2206175871,16.3679648555,verified,vienna:2255578,verified
Trinkbrunnen,drinking_fountain,,48.2378946614,16.385758299,verified,vienna:2255579,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1908771677,16.3755844171,verified,vienna:2255580,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2235110681,16.3907427664,verified,vienna:2255581,verified
Trinkbrunnen,drinking_fountain,,48.1665187842,16.3259594434,verified,vienna:2255582,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2699282706,16.4380320439,verified,vienna:2255583,verified
Trinkbrunnen,drinking_fountain,,48.2524857046,16.398782678,verified,vienna:2255584,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2513978035,16.3930588829,verified,vienna:2255585,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1610424492,16.4437316248,verified,vienna:2255587,verified
Trinkbrunnen,drinking_fountain,,48.2316562154,16.3479863691,verified,vienna:2255589,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2582866707,16.3376528522,verified,vienna:2255590,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2775788609,16.3825672712,verified,vienna:2255591,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1360046565,16.2805018542,verified,vienna:2255592,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1353278876,16.2824154162,verified,vienna:2255593,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1355386845,16.2818535384,verified,vienna:2255594,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2022793161,16.2499261876,verified,vienna:2255595,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.15272643,16.3868906503,verified,vienna:2255596,verified
Trinkbrunnen,drinking_fountain,,48.2377417048,16.4157010127,verified,vienna:2255597,verified
Trinkbrunnen,drinking_fountain,,48.1683726994,16.2969848132,verified,vienna:2255598,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2353286555,16.3708098852,verified,vienna:2255600,verified
Trinkbrunnen,drinking_fountain,,48.211919141,16.3594549507,verified,vienna:2255601,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2225413228,16.3908314929,verified,vienna:2255603,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2259470595,16.3963226834,verified,vienna:2255604,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1695011697,16.3823570015,verified,vienna:2255605,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1738901708,16.4194004436,verified,vienna:2255606,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.1696066009,16.4290588628,verified,vienna:2255609,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2743494697,16.4057856576,verified,vienna:2255610,verified
Trinkbrunnen,drinking_fountain,,48.2608133318,16.3921441497,verified,vienna:2255611,verified
Trinkbrunnen,drinking_fountain,,48.1917904311,16.3920638923,verified,vienna:2255612,verified
Trinkbrunnen mit Tränke,drinking_fountain_with_trough,,48.2459272549,16.3306537508,verified,vienna:2255613,verified
Trinkbrunnen,drinking_fountain,,48.2518338032,16.457488021,verified,vienna:2255614,verified
