id,name,type_label,type_num,lat,lng
2255748,Trinkbrunnen,drinking_fountain,4,48.212913790547624,16.32592771593872
2255749,Trinkbrunnen,drinking_fountain,4,48.23993838096623,16.47379576776317
2255750,Trinkbrunnen,drinking_fountain,4,48.239967824396345,16.473719310932733
2255751,Trinkbrunnen,drinking_fountain,4,48.23990717622222,16.473720828450936
2255752,Trinkbrunnen,drinking_fountain,4,48.24066488215793,16.474217693776392
2255753,Trinkbrunnen,drinking_fountain,4,48.19894233318957,16.338592684271447
2255754,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.196447865800245,16.28585793847822
2255755,Trinkbrunnen,drinking_fountain,4,48.209311284818995,16.358705862652414
2255756,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.132140747328926,16.255753285098585
2255758,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.19507448502919,16.28547756690336
2255759,Trinkbrunnen,drinking_fountain,4,48.216741851144754,16.37234347585566
2255763,Trinkbrunnen,drinking_fountain,4,48.21641760974688,16.32927090921508
2255764,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.19554590250516,16.26112121711267
2255765,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.180258281320505,16.289864628915332
2255766,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.15922332472231,16.29105753422206
2255767,Trinkbrunnen,drinking_fountain,4,48.263383362795466,16.443212656177668
2255777,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.139341000132966,16.277898862602772
2255792,Trinkbrunnen,drinking_fountain,4,48.16663818825516,16.418368702280425
2255793,Trinkbrunnen,drinking_fountain,4,48.15429516531487,16.289893092580076
2255818,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.168947805267415,16.308030724038847
2255827,Trinkbrunnen,drinking_fountain,4,48.15943387201676,16.475835953977164
2255829,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.17644061056489,16.33239167799652
2255838,Trinkbrunnen,drinking_fountain,4,48.225066515717295,16.3858220372078
2255415,Trinkbrunnen,drinking_fountain,4,48.20642668977691,16.31430838354078
2255416,Trinkbrunnen,drinking_fountain,4,48.206382817158435,16.315168224538603
2255417,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.21593484764715,16.35968185131459
2255418,Trinkbrunnen,drinking_fountain,4,48.21273540695249,16.48884522797454
2255419,Trinkbrunnen,drinking_fountain,4,48.22425198842918,16.451621439334016
2255420,Trinkbrunnen,drinking_fountain,4,48.213298933961184,16.33560219333512
2255421,Trinkbrunnen,drinking_fountain,4,48.213634620700574,16.335161300590748
2255422,Trinkbrunnen,drinking_fountain,4,48.2135649043659,16.334961590322802
2255423,Trinkbrunnen,drinking_fountain,4,48.244692913289825,16.325824216659576
2255424,Trinkbrunnen,drinking_fountain,4,48.22136214224033,16.316931808887176
2255425,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20011878719967,16.3135108086204
2255427,Trinkbrunnen,drinking_fountain,4,48.16940079592525,16.352072508504016
2255429,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.20456896985916,16.34651662537697
2255430,Trinkbrunnen,drinking_fountain,4,48.20143190934512,16.338537465978884
2255431,Trinkbrunnen,drinking_fountain,4,48.20762116908671,16.340669316611365
2255432,Trinkbrunnen,drinking_fountain,4,48.19890140633391,16.34734251692243
2255433,Trinkbrunnen,drinking_fountain,4,48.20884383436387,16.345355048208393
2255434,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.22346711121396,16.358717652963648
2255436,Trinkbrunnen,drinking_fountain,4,48.22973063992996,16.352529886449794
2255437,Trinkbrunnen,drinking_fountain,4,48.29143989107667,16.415173852108506
2255438,Trinkbrunnen,drinking_fountain,4,48.15877303208388,16.319385449348754
2255439,Trinkbrunnen mit Tränke,drinking_fountain_with_trough,5,48.28014495541876,16.42166658675629
