FID,SHAPE,NAME,TYP_NUM,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.2254923,POINT (16.402290931133102 48.30865927184982),Auslaufbrunnen,7,2254923,
TRINKBRUNNENOGD.2254924,POINT (16.34751159354151 48.18768637096436),Auslaufbrunnen,7,2254924,
TRINKBRUNNENOGD.2254925,POINT (16.36398563890879 48.19245537305717),Auslaufbrunnen,7,2254925,
TRINKBRUNNENOGD.2254926,POINT (16.334879448457688 48.18120053507977),Auslaufbrunnen,7,2254926,
TRINKBRUNNENOGD.2254927,POINT (16.420840449647745 48.19110974879492),Trinkhydrant,10,2254927,
TRINKBRUNNENOGD.2254928,POINT (16.321465058627375 48.26365709846148),Trinkhydrant,10,2254928,
TRINKBRUNNENOGD.2254929,POINT (16.372661115566334 48.20814041564195),Trinkhydrant,10,2254929,
TRINKBRUNNENOGD.2254930,POINT (16.373814104194537 48.20852377341536),Trinkhydrant,10,2254930,
TRINKBRUNNENOGD.2254931,POINT (16.375867247119505 48.1616088598153),Trinkhydrant,10,2254931,
TRINKBRUNNENOGD.2254932,POINT (16.366826746406897 48.19105779077106),Trinkhydrant,10,2254932,
TRINKBRUNNENOGD.2254933,POINT (16.349854430826756 48.19098911992579),Trinkhydrant,10,2254933,
TRINKBRUNNENOGD.2254994,POINT (16.384003970467827 48.16787964810339),Trinkbrunnen mit Tränke,5,2254994,
TRINKBRUNNENOGD.2254995,POINT (16.354156302943906 48.17481578514357),Trinkbrunnen mit Tränke,5,2254995,
TRINKBRUNNENOGD.2254996,POINT (16.368661197577104 48.17454833931944),Trinkbrunnen mit Tränke,5,2254996,
TRINKBRUNNENOGD.2254997,POINT (16.368639114306937 48.17468421323334),Trinkbrunnen mit Tränke,5,2254997,
TRINKBRUNNENOGD.2254998,POINT (16.354732009645552 48.17563612084331),Trinkbrunnen mit Tränke,5,2254998,
TRINKBRUNNENOGD.2254999,POINT (16.402999047553138 48.164846805314205),Trinkbrunnen mit Tränke,5,2254999,
TRINKBRUNNENOGD.2255000,POINT (16.33236266918577 48.20402343612288),Trinkbrunnen mit Tränke,5,2255000,
TRINKBRUNNENOGD.2255001,POINT (16.33201034107824 48.203502313294045),Trinkbrunnen,4,2255001,
TRINKBRUNNENOGD.2255002,POINT (16.358008659653336 48.22705414653714),Trinkbrunnen mit Tränke,5,2255002,
TRINKBRUNNENOGD.2255003,POINT (16.351848769887965 48.197880267793465),Trinkbrunnen mit Tränke,5,2255003,
TRINKBRUNNENOGD.2255004,POINT (16.35324110425043 48.19791052640881),Trinkbrunnen mit Tränke,5,2255004,
TRINKBRUNNENOGD.2255005,POINT (16.352376258376914 48.19797061426474),Trinkbrunnen mit Tränke,5,2255005,
TRINKBRUNNENOGD.2255006,POINT (16.32719878313198 48.20989538217001),Trinkbrunnen mit Tränke,5,2255006,
TRINKBRUNNENOGD.2255007,POINT (16.36807510343346 48.17470984838038),Spielbrunnen,3,2255007,
TRINKBRUNNENOGD.2255008,POINT (16.368119439760008 48.175354971125785),Trinkbrunnen mit Tränke,5,2255008,
TRINKBRUNNENOGD.2255009,POINT (16.384738214323338 48.23831268973163),Trinkbrunnen mit Tränke,5,2255009,
TRINKBRUNNENOGD.2255010,POINT (16.338742309209707 48.24489349725783),Trinkbrunnen mit Tränke,5,2255010,
TRINKBRUNNENOGD.2255011,POINT (16.337726093894542 48.24486489331787),Trinkbrunnen mit Tränke,5,2255011,
TRINKBRUNNENOGD.2255012,POINT (16.357144218775264 48.25383655509732),Trinkbrunnen mit Tränke,5,2255012,
TRINKBRUNNENOGD.2255013,POINT (16.35814439558914 48.252607040429524),Trinkbrunnen mit Tränke,5,2255013,
TRINKBRUNNENOGD.2255014,POINT (16.357530074631118 48.25201073604249),Trinkbrunnen mit Tränke,5,2255014,
TRINKBRUNNENOGD.2255015,POINT (16.361867560841596 48.25229837425181),Trinkbrunnen mit Tränke,5,2255015,
TRINKBRUNNENOGD.2255016,POINT (16.416750171989765 48.167942504014874),Trinkbrunnen mit Tränke,5,2255016,
TRINKBRUNNENOGD.2255017,POINT (16.416320005549057 48.16750750115857),Trinkbrunnen mit Tränke,5,2255017,
TRINKBRUNNENOGD.2255018,POINT (16.418619049191825 48.169013053381455),Trinkbrunnen mit Tränke,5,2255018,
TRINKBRUNNENOGD.2255019,POINT (16.424827441944377 48.15697479020516),Trinkbrunnen mit Tränke,5,2255019,
TRINKBRUNNENOGD.2255020,POINT (16.411018366168573 48.173585273210655),Trinkbrunnen,4,2255020,
TRINKBRUNNENOGD.2255021,POINT (16.430578983341046 48.168002412782116),Spielbrunnen,3,2255021,
TRINKBRUNNENOGD.2255022,POINT (16.430528456422067 48.16806580207866),Trinkbrunnen mit Tränke,5,2255022,
TRINKBRUNNENOGD.2255023,POINT (16.460208198359332 48.1539554490894),Trinkbrunnen mit Tränke,5,2255023,
TRINKBRUNNENOGD.2255024,POINT (16.461610483389798 48.15331840398914),Trinkbrunnen mit Tränke,5,2255024,
TRINKBRUNNENOGD.2255025,POINT (16.38298176359356 48.26859452449369),Trinkbrunnen mit Tränke,5,2255025,
TRINKBRUNNENOGD.2255026,POINT (16.39401231949893 48.273140463441656),Trinkbrunnen mit Tränke,5,2255026,
TRINKBRUNNENOGD.2255027,POINT (16.359244775462077 48.17221045300593),Trinkbrunnen mit Tränke,5,2255027,
TRINKBRUNNENOGD.2255028,POINT (16.44792461505604 48.27215999610726),Trinkbrunnen mit Tränke,5,2255028,
TRINKBRUNNENOGD.2255029,POINT (16.44906922346426 48.27184056704861),Trinkbrunnen,4,2255029,
TRINKBRUNNENOGD.2255030,POINT (16.469792697633 48.15472383788651),Trinkbrunnen mit Tränke,5,2255030,
TRINKBRUNNENOGD.2255031,POINT (16.46937197555784 48.15457394296936),Trinkbrunnen mit Tränke,5,2255031,
TRINKBRUNNENOGD.2255032,POINT (16.37805387047742 48.248847317798464),Trinkbrunnen,4,2255032,
TRINKBRUNNENOGD.2255033,POINT (16.374148652887765 48.24439861167372),Spielbrunnen,3,2255033,
TRINKBRUNNENOGD.2255034,POINT (16.368309456400016 48.17083983350822),Trinkbrunnen,4,2255034,
TRINKBRUNNENOGD.2255035,POINT (16.42281193638312 48.17748053763259),Spielbrunnen,3,2255035,
TRINKBRUNNENOGD.2255036,POINT (16.44309983911156 48.258231947021265),Trinkbrunnen mit Tränke,5,2255036,
TRINKBRUNNENOGD.2255037,POINT (16.4437556002168 48.258588701933654),Trinkbrunnen,4,2255037,
TRINKBRUNNENOGD.2255038,POINT (16.443707959107776 48.25836116515196),Spielbrunnen,3,2255038,
TRINKBRUNNENOGD.2255039,POINT (16.366269389501408 48.181378422828075),Trinkbrunnen mit Tränke,5,2255039,
TRINKBRUNNENOGD.2255040,POINT (16.36537857771595 48.180310032032885),Trinkbrunnen mit Tränke,5,2255040,
TRINKBRUNNENOGD.2255041,POINT (16.480640549209898 48.22025539181926),Trinkbrunnen mit Tränke,5,2255041,
TRINKBRUNNENOGD.2255042,POINT (16.337986700975506 48.20736874280104),Trinkbrunnen mit Tränke,5,2255042,
TRINKBRUNNENOGD.2255043,POINT (16.329953685409883 48.234249538803084),Trinkbrunnen mit Tränke,5,2255043,
TRINKBRUNNENOGD.2255044,POINT (16.33758974720845 48.23458493956384),Trinkbrunnen mit Tränke,5,2255044,
TRINKBRUNNENOGD.2255045,POINT (16.336862149750264 48.234255157637214),Spielbrunnen,3,2255045,
TRINKBRUNNENOGD.2255046,POINT (16.310974664137994 48.18787274467235),Trinkbrunnen mit Tränke,5,2255046,
TRINKBRUNNENOGD.2255047,POINT (16.25163145558777 48.202031299621304),Trinkbrunnen,4,2255047,
TRINKBRUNNENOGD.2255048,POINT (16.354478684747143 48.189768749513135),Trinkbrunnen,4,2255048,
TRINKBRUNNENOGD.2255049,POINT (16.39967861723401 48.2516042312674),Trinkbrunnen,4,2255049,
